offer_id,clicked_at
810116813,2021-03-23 02:01:48
810118339,2021-03-23 02:01:14
810132429,2021-03-23 02:46:50
810152009,2021-03-23 04:46:20
810177207,2021-03-23 08:44:04
810204340,2021-03-23 14:07:25
810234789,2021-03-23 15:51:58
810264340,2021-03-23 15:36:18
810286959,2021-03-23 18:12:26
810302871,2021-03-23 18:54:22
810312357,2021-03-23 20:02:07
810347104,2021-03-23 21:42:01
810378443,2021-03-23 23:59:22
810404471,2021-03-24 01:47:51
810455403,2021-03-24 06:57:46
810460868,2021-03-24 07:40:04
810489331,2021-03-24 12:45:00
810501632,2021-03-24 13:40:29
810527508,2021-03-24 15:38:34
810529029,2021-03-24 15:43:48
810558386,2021-03-24 16:48:49
810574996,2021-03-24 18:04:31
810585950,2021-03-24 18:48:33
810595147,2021-03-24 17:44:24
810615247,2021-03-24 18:45:08
810631536,2021-03-24 20:57:38
810678023,2021-03-25 00:55:25
810708040,2021-03-25 01:52:12
810744770,2021-03-25 05:35:10
810749976,2021-03-25 06:45:18
810778203,2021-03-25 11:53:54
810783743,2021-03-25 12:41:19
810787196,2021-03-25 11:31:24
810817283,2021-03-25 14:38:27
810821467,2021-03-25 14:40:12
810863027,2021-03-25 16:50:51
810864017,2021-03-25 19:42:21
810986134,2021-03-26 00:48:05
811026091,2021-03-26 03:49:03
811052821,2021-03-26 07:01:16
811056462,2021-03-26 07:51:15
811061220,2021-03-26 07:47:51
811068245,2021-03-26 09:45:43
811075616,2021-03-26 10:41:30
811077592,2021-03-26 10:41:42
811091264,2021-03-26 12:50:43
811124676,2021-03-26 15:03:52
811132127,2021-03-26 15:48:37
811133994,2021-03-26 15:38:22
811142192,2021-03-26 15:41:52
811155447,2021-03-26 17:04:14
811159047,2021-03-26 16:38:13
811211369,2021-03-26 19:42:44
811218814,2021-03-26 20:08:28
811230520,2021-03-26 20:45:34
811244829,2021-03-26 21:01:59
811246007,2021-03-26 19:56:52
811248716,2021-03-26 21:49:30
811253355,2021-03-26 20:23:02
811264156,2021-03-27 00:54:13
811276193,2021-03-26 22:57:51
811293621,2021-03-27 00:45:43
811315746,2021-03-27 03:06:23
811321977,2021-03-27 01:51:10
811331554,2021-03-27 03:39:02
811349975,2021-03-27 06:38:38
811363408,2021-03-27 08:32:53
811381847,2021-03-27 12:40:38
811388189,2021-03-27 12:42:51
811391462,2021-03-27 13:40:53
811407457,2021-03-27 14:48:51
811426360,2021-03-27 14:27:09
811432150,2021-03-27 15:46:30
811472882,2021-03-27 18:47:51
811474837,2021-03-27 18:37:37
811509270,2021-03-27 21:43:01
811515238,2021-03-27 21:48:03
811537377,2021-03-27 23:41:49
811556933,2021-03-28 00:39:49
811562581,2021-03-28 01:51:05
811584530,2021-03-28 03:53:29
811591451,2021-03-28 04:42:28
811596301,2021-03-28 04:11:01
811598907,2021-03-28 05:57:28
811638648,2021-03-28 13:39:23
811642404,2021-03-28 13:45:09
811736110,2021-03-28 20:43:25
